,Type,Sex,Size,Intake Type,Intake Jurisdiction,PredomBreed,PredomColor,Type Sex,Type Size,Type Intake Type,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Sex Size,Sex Intake Type,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Size Intake Type,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,PredomBreed PredomColor,Outcome Type
13735,2.0,0.0,4.0,1.0,8.0,14.0,13.0,0.0,8.0,2.0,16.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,56.0,52.0,8.0,14.0,13.0,112.0,104.0,182.0,3
13736,1.0,2.0,4.0,4.0,10.0,44.0,18.0,2.0,4.0,4.0,10.0,44.0,18.0,8.0,8.0,20.0,88.0,36.0,16.0,40.0,176.0,72.0,40.0,176.0,72.0,440.0,180.0,792.0,3
13737,1.0,0.0,1.0,4.0,8.0,10.0,2.0,0.0,1.0,4.0,8.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,2.0,32.0,40.0,8.0,80.0,16.0,20.0,2
13738,1.0,2.0,5.0,2.0,8.0,7.0,18.0,2.0,5.0,2.0,8.0,7.0,18.0,10.0,4.0,16.0,14.0,36.0,10.0,40.0,35.0,90.0,16.0,14.0,36.0,56.0,144.0,126.0,0
13739,1.0,3.0,2.0,4.0,12.0,33.0,19.0,3.0,2.0,4.0,12.0,33.0,19.0,6.0,12.0,36.0,99.0,57.0,8.0,24.0,66.0,38.0,48.0,132.0,76.0,396.0,228.0,627.0,2
13740,1.0,3.0,2.0,2.0,8.0,4.0,17.0,3.0,2.0,2.0,8.0,4.0,17.0,6.0,6.0,24.0,12.0,51.0,4.0,16.0,8.0,34.0,16.0,8.0,34.0,32.0,136.0,68.0,0
13741,0.0,2.0,0.0,4.0,8.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,44.0,18.0,0.0,0.0,0.0,0.0,32.0,88.0,36.0,176.0,72.0,198.0,0
13742,0.0,3.0,0.0,4.0,8.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,66.0,27.0,0.0,0.0,0.0,0.0,32.0,88.0,36.0,176.0,72.0,198.0,0
13743,1.0,2.0,1.0,1.0,8.0,42.0,2.0,2.0,1.0,1.0,8.0,42.0,2.0,2.0,2.0,16.0,84.0,4.0,1.0,8.0,42.0,2.0,8.0,42.0,2.0,336.0,16.0,84.0,2
13744,1.0,3.0,2.0,4.0,10.0,8.0,0.0,3.0,2.0,4.0,10.0,8.0,0.0,6.0,12.0,30.0,24.0,0.0,8.0,20.0,16.0,0.0,40.0,32.0,0.0,80.0,0.0,0.0,2
13745,1.0,0.0,5.0,4.0,10.0,15.0,15.0,0.0,5.0,4.0,10.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,75.0,75.0,40.0,60.0,60.0,150.0,150.0,225.0,2
13746,2.0,1.0,4.0,4.0,8.0,38.0,2.0,2.0,8.0,8.0,16.0,76.0,4.0,4.0,4.0,8.0,38.0,2.0,16.0,32.0,152.0,8.0,32.0,152.0,8.0,304.0,16.0,76.0,2
13747,0.0,2.0,0.0,4.0,8.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,44.0,4.0,0.0,0.0,0.0,0.0,32.0,88.0,8.0,176.0,16.0,44.0,0
13748,1.0,2.0,2.0,5.0,10.0,33.0,0.0,2.0,2.0,5.0,10.0,33.0,0.0,4.0,10.0,20.0,66.0,0.0,10.0,20.0,66.0,0.0,50.0,165.0,0.0,330.0,0.0,0.0,0
13749,1.0,2.0,1.0,4.0,8.0,28.0,18.0,2.0,1.0,4.0,8.0,28.0,18.0,2.0,8.0,16.0,56.0,36.0,4.0,8.0,28.0,18.0,32.0,112.0,72.0,224.0,144.0,504.0,3
13750,1.0,3.0,4.0,4.0,8.0,43.0,13.0,3.0,4.0,4.0,8.0,43.0,13.0,12.0,12.0,24.0,129.0,39.0,16.0,32.0,172.0,52.0,32.0,172.0,52.0,344.0,104.0,559.0,0
13751,1.0,3.0,3.0,4.0,8.0,25.0,0.0,3.0,3.0,4.0,8.0,25.0,0.0,9.0,12.0,24.0,75.0,0.0,12.0,24.0,75.0,0.0,32.0,100.0,0.0,200.0,0.0,0.0,0
13752,1.0,2.0,3.0,4.0,10.0,42.0,15.0,2.0,3.0,4.0,10.0,42.0,15.0,6.0,8.0,20.0,84.0,30.0,12.0,30.0,126.0,45.0,40.0,168.0,60.0,420.0,150.0,630.0,2
13753,1.0,3.0,1.0,1.0,10.0,42.0,18.0,3.0,1.0,1.0,10.0,42.0,18.0,3.0,3.0,30.0,126.0,54.0,1.0,10.0,42.0,18.0,10.0,42.0,18.0,420.0,180.0,756.0,2
13754,0.0,2.0,0.0,5.0,8.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,42.0,4.0,0.0,0.0,0.0,0.0,40.0,105.0,10.0,168.0,16.0,42.0,0
13755,1.0,2.0,3.0,2.0,8.0,40.0,2.0,2.0,3.0,2.0,8.0,40.0,2.0,6.0,4.0,16.0,80.0,4.0,6.0,24.0,120.0,6.0,16.0,80.0,4.0,320.0,16.0,80.0,0
13756,2.0,4.0,4.0,4.0,10.0,46.0,12.0,8.0,8.0,8.0,20.0,92.0,24.0,16.0,16.0,40.0,184.0,48.0,16.0,40.0,184.0,48.0,40.0,184.0,48.0,460.0,120.0,552.0,3
13757,1.0,0.0,1.0,4.0,10.0,55.0,9.0,0.0,1.0,4.0,10.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,55.0,9.0,40.0,220.0,36.0,550.0,90.0,495.0,1
13758,0.0,4.0,4.0,4.0,8.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,32.0,84.0,36.0,16.0,32.0,84.0,36.0,32.0,84.0,36.0,168.0,72.0,189.0,3
13759,1.0,3.0,4.0,4.0,8.0,51.0,9.0,3.0,4.0,4.0,8.0,51.0,9.0,12.0,12.0,24.0,153.0,27.0,16.0,32.0,204.0,36.0,32.0,204.0,36.0,408.0,72.0,459.0,3
13760,1.0,3.0,5.0,4.0,12.0,15.0,13.0,3.0,5.0,4.0,12.0,15.0,13.0,15.0,12.0,36.0,45.0,39.0,20.0,60.0,75.0,65.0,48.0,60.0,52.0,180.0,156.0,195.0,2
13761,1.0,3.0,2.0,4.0,8.0,12.0,0.0,3.0,2.0,4.0,8.0,12.0,0.0,6.0,12.0,24.0,36.0,0.0,8.0,16.0,24.0,0.0,32.0,48.0,0.0,96.0,0.0,0.0,2
13762,1.0,2.0,4.0,4.0,8.0,40.0,15.0,2.0,4.0,4.0,8.0,40.0,15.0,8.0,8.0,16.0,80.0,30.0,16.0,32.0,160.0,60.0,32.0,160.0,60.0,320.0,120.0,600.0,3
13763,0.0,2.0,0.0,2.0,8.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,40.0,4.0,0.0,0.0,0.0,0.0,16.0,40.0,4.0,160.0,16.0,40.0,0
13764,2.0,2.0,4.0,4.0,8.0,46.0,18.0,4.0,8.0,8.0,16.0,92.0,36.0,8.0,8.0,16.0,92.0,36.0,16.0,32.0,184.0,72.0,32.0,184.0,72.0,368.0,144.0,828.0,0
13765,1.0,3.0,4.0,4.0,8.0,38.0,18.0,3.0,4.0,4.0,8.0,38.0,18.0,12.0,12.0,24.0,114.0,54.0,16.0,32.0,152.0,72.0,32.0,152.0,72.0,304.0,144.0,684.0,2
13766,1.0,2.0,1.0,4.0,8.0,25.0,2.0,2.0,1.0,4.0,8.0,25.0,2.0,2.0,8.0,16.0,50.0,4.0,4.0,8.0,25.0,2.0,32.0,100.0,8.0,200.0,16.0,50.0,2
13767,0.0,3.0,0.0,4.0,8.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,66.0,27.0,0.0,0.0,0.0,0.0,32.0,88.0,36.0,176.0,72.0,198.0,2
13768,1.0,2.0,4.0,4.0,10.0,15.0,2.0,2.0,4.0,4.0,10.0,15.0,2.0,8.0,8.0,20.0,30.0,4.0,16.0,40.0,60.0,8.0,40.0,60.0,8.0,150.0,20.0,30.0,0
13769,1.0,2.0,1.0,4.0,8.0,33.0,0.0,2.0,1.0,4.0,8.0,33.0,0.0,2.0,8.0,16.0,66.0,0.0,4.0,8.0,33.0,0.0,32.0,132.0,0.0,264.0,0.0,0.0,2
13770,1.0,1.0,5.0,4.0,10.0,15.0,15.0,1.0,5.0,4.0,10.0,15.0,15.0,5.0,4.0,10.0,15.0,15.0,20.0,50.0,75.0,75.0,40.0,60.0,60.0,150.0,150.0,225.0,2
13771,1.0,2.0,5.0,4.0,10.0,15.0,0.0,2.0,5.0,4.0,10.0,15.0,0.0,10.0,8.0,20.0,30.0,0.0,20.0,50.0,75.0,0.0,40.0,60.0,0.0,150.0,0.0,0.0,0
13772,0.0,3.0,0.0,4.0,10.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,66.0,54.0,0.0,0.0,0.0,0.0,40.0,88.0,72.0,220.0,180.0,396.0,0
13773,1.0,3.0,2.0,4.0,10.0,38.0,2.0,3.0,2.0,4.0,10.0,38.0,2.0,6.0,12.0,30.0,114.0,6.0,8.0,20.0,76.0,4.0,40.0,152.0,8.0,380.0,20.0,76.0,2
13774,1.0,2.0,4.0,4.0,10.0,42.0,18.0,2.0,4.0,4.0,10.0,42.0,18.0,8.0,8.0,20.0,84.0,36.0,16.0,40.0,168.0,72.0,40.0,168.0,72.0,420.0,180.0,756.0,0
13775,1.0,1.0,4.0,4.0,10.0,44.0,6.0,1.0,4.0,4.0,10.0,44.0,6.0,4.0,4.0,10.0,44.0,6.0,16.0,40.0,176.0,24.0,40.0,176.0,24.0,440.0,60.0,264.0,2
13776,1.0,2.0,1.0,4.0,10.0,38.0,0.0,2.0,1.0,4.0,10.0,38.0,0.0,2.0,8.0,20.0,76.0,0.0,4.0,10.0,38.0,0.0,40.0,152.0,0.0,380.0,0.0,0.0,3
13777,1.0,0.0,4.0,4.0,8.0,38.0,18.0,0.0,4.0,4.0,8.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,152.0,72.0,32.0,152.0,72.0,304.0,144.0,684.0,2
13778,1.0,3.0,1.0,4.0,8.0,25.0,18.0,3.0,1.0,4.0,8.0,25.0,18.0,3.0,12.0,24.0,75.0,54.0,4.0,8.0,25.0,18.0,32.0,100.0,72.0,200.0,144.0,450.0,2
13779,1.0,3.0,2.0,2.0,10.0,42.0,0.0,3.0,2.0,2.0,10.0,42.0,0.0,6.0,6.0,30.0,126.0,0.0,4.0,20.0,84.0,0.0,20.0,84.0,0.0,420.0,0.0,0.0,1
13780,0.0,2.0,0.0,4.0,10.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,44.0,18.0,0.0,0.0,0.0,0.0,40.0,88.0,36.0,220.0,90.0,198.0,0
13781,1.0,2.0,4.0,4.0,10.0,35.0,18.0,2.0,4.0,4.0,10.0,35.0,18.0,8.0,8.0,20.0,70.0,36.0,16.0,40.0,140.0,72.0,40.0,140.0,72.0,350.0,180.0,630.0,0
13782,1.0,2.0,3.0,4.0,8.0,42.0,0.0,2.0,3.0,4.0,8.0,42.0,0.0,6.0,8.0,16.0,84.0,0.0,12.0,24.0,126.0,0.0,32.0,168.0,0.0,336.0,0.0,0.0,2
13783,1.0,1.0,2.0,4.0,10.0,11.0,2.0,1.0,2.0,4.0,10.0,11.0,2.0,2.0,4.0,10.0,11.0,2.0,8.0,20.0,22.0,4.0,40.0,44.0,8.0,110.0,20.0,22.0,2
13784,0.0,2.0,0.0,5.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,45.0,105.0,0.0,189.0,0.0,0.0,0
13785,1.0,0.0,2.0,1.0,10.0,42.0,2.0,0.0,2.0,1.0,10.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,84.0,4.0,10.0,42.0,2.0,420.0,20.0,84.0,2
13786,0.0,2.0,4.0,4.0,10.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,20.0,40.0,22.0,16.0,40.0,80.0,44.0,40.0,80.0,44.0,200.0,110.0,220.0,2
13787,1.0,2.0,2.0,4.0,10.0,38.0,18.0,2.0,2.0,4.0,10.0,38.0,18.0,4.0,8.0,20.0,76.0,36.0,8.0,20.0,76.0,36.0,40.0,152.0,72.0,380.0,180.0,684.0,2
13788,0.0,4.0,4.0,5.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,32.0,88.0,0.0,20.0,32.0,88.0,0.0,40.0,110.0,0.0,176.0,0.0,0.0,3
13789,0.0,4.0,0.0,4.0,8.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,88.0,8.0,0.0,0.0,0.0,0.0,32.0,88.0,8.0,176.0,16.0,44.0,3
